scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,540.7352638840675,481.45591831207275,0.9999998807907104,453.7036075592041,371.94034242630005,0.002382478443905711,541.1361192464828,484.7002452015877,0.010034040547907352,459.3631155490875,482.1788018941879,0.9999998807907104,548.5475817322731,406.32150173187256,1.0,531.068160533905,375.20352959632874,0.9999977350234985,449.9038727283478,374.6146581172943,0.9926398992538452,462.98134660720825,403.8526220470667,1.0
1,545.5808954238892,485.0387679338455,1.0,562.5071357488632,418.9733670949936,0.029678495600819588,546.2318466901779,487.0140552520752,0.006473897490650415,465.5018804073334,485.05783545970917,1.0,554.606183886528,411.6940641403198,0.9999970197677612,537.2531986236572,376.6868591308594,0.999984860420227,456.55197620391846,375.2268829345703,0.9611337184906006,469.8317779302597,406.0537679195404,1.0
2,551.2350280284882,488.28434896469116,1.0,560.9425220489502,422.48757243156433,0.0023449992295354605,462.0549545288086,484.8353652358055,0.003043337957933545,471.3377585411072,487.3700952529907,0.9999997615814209,559.6649436950684,414.1364095211029,0.9999995231628418,542.2111401557922,379.6957197487354,0.9999667406082153,465.2551257610321,379.3487660884857,0.9954715967178345,475.93960454314947,410.93727362155914,0.9999997615814209
3,558.3886480331421,490.92372250556946,0.999998927116394,483.655587464571,490.010614156723,0.003412159625440836,467.4377980232239,486.21990299224854,0.0011419920483604074,476.57347947359085,489.6629934310913,0.9999990463256836,567.8778319358826,416.1262512207031,0.9999998807907104,546.2206764221191,381.7075034379959,0.999996542930603,469.3104043006897,381.26494562625885,0.9990828037261963,482.33778166770935,414.209876537323,1.0
4,563.1879584789276,492.2056749612093,0.9999998807907104,574.013688325882,492.8516948223114,0.002978726290166378,475.87611028552055,498.333992600441,0.0010291595244780183,481.00700545310974,492.0826400369406,0.9999998807907104,572.7867655158043,417.00545287132263,0.9999998807907104,552.2047681808472,382.92807817459106,0.9998975992202759,475.1496095061302,382.4686875343323,0.9997773766517639,488.42781496047974,417.62490344047546,1.0
5,567.0832283496857,493.73883986473083,0.9999997615814209,496.5855507850647,494.1410710811615,0.0035984597634524107,481.0275993347168,385.7170658111572,0.0028335361275821924,485.8551924228668,493.44496381282806,0.9999996423721313,578.235787153244,419.5052917599678,1.0,559.1294455528259,385.9505286216736,0.999835729598999,481.0855815410614,384.04424500465393,0.9999995231628418,493.9760900735855,418.5271942615509,1.0
6,571.7432977259159,494.4744920730591,0.9999983310699463,498.9137806892395,495.5610411167145,0.0013669624458998442,482.7608252763748,498.93058371543884,0.0019159913063049316,490.0489114522934,495.0511484146118,0.9999963045120239,583.16748046875,421.87142848968506,1.0,564.8601661324501,388.17640121281147,0.999998927116394,486.7152900695801,385.33846640586853,0.9999998807907104,498.9087088108063,421.6388862133026,1.0
7,574.2050406932831,498.169725894928,0.9999996423721313,595.228553712368,426.8498463630676,0.0017091702902689576,574.4210240840912,501.32359528541565,0.005906411446630955,496.9326627254486,496.7453804016113,0.9999996423721313,588.443615168333,423.0662658214569,0.9999998807907104,568.9796996116638,387.7824861109257,0.9999982118606567,491.72955045104027,386.92418384552,0.9999998807907104,503.33333253860474,422.72955226898193,0.9999998807907104
8,580.2633177340031,497.65867376327515,1.0,590.1756508350372,492.81228941679,0.0019099176861345768,581.1874740123749,500.4176881313324,0.0059926169924438,501.17067539691925,497.3948407173157,1.0,591.7851066589355,421.8883765935898,1.0,572.7730386257172,388.82116943597794,0.9999994039535522,494.3277840614319,386.84205746650696,0.9999997615814209,509.39111745357513,423.6111295223236,1.0
9,585.9480271339417,498.31582593917847,1.0,517.6534729003906,499.0865262746811,0.0021626357920467854,586.2161259651184,500.5795026421547,0.00590791180729866,505.4020080566406,498.42039477825165,0.9999998807907104,597.5871433019638,422.4400169849396,0.9999997615814209,579.1901634335518,390.9881284236908,1.0,496.3977952003479,385.349396944046,1.0,515.7850086987019,422.7351908683777,1.0
10,591.4533615112305,497.57475304603577,0.9999998807907104,602.9130580425262,494.83263182640076,0.004215241875499487,591.1863150596619,500.97644716501236,0.005349029786884785,508.88193666934967,499.56288507580757,0.9999998807907104,602.7281469106674,422.09506726264954,1.0,580.4625785946846,390.54372549057007,1.0,501.84557271003723,385.7434678077698,1.0,521.1870565414429,423.4239413738251,1.0
11,595.9999621804818,498.71446120738983,1.0,528.0562295913696,498.169441819191,0.006633746437728405,597.3744941949844,501.1781233549118,0.006621525157243013,515.6906406879425,497.91025280952454,1.0,608.4020512104034,421.74377024173737,1.0,584.7933685779572,391.60504722595215,0.9999997615814209,508.1625055670738,387.3752382993698,1.0,527.174652338028,421.14597046375275,1.0
12,600.1195230484009,496.2998831272125,0.9999997615814209,532.1166019439697,498.1346057653427,0.004549362696707249,600.1329879760742,499.0290752053261,0.007205181755125523,520.6856770515442,496.42770075798035,0.9999998807907104,614.482048034668,418.91091680526733,1.0,588.4460791945457,391.45586109161377,0.9999996423721313,511.20401525497437,388.2829021215439,1.0,532.3978243768215,418.8595916032791,1.0
13,606.0287232398987,495.92181158065796,0.9999996423721313,529.8753066062927,496.3241376876831,0.002708601765334606,606.224125623703,499.74289959669113,0.006910458207130432,525.3507354259491,495.32908868789673,0.9999995231628418,618.4270133972168,415.1754426956177,0.9999998807907104,591.0878758430481,392.5429015159607,0.9999812841415405,514.4711655378342,387.2698113322258,0.9999998807907104,537.7654347419739,415.46158266067505,1.0
14,613.634327173233,492.78827595710754,1.0,622.8759300708771,491.19272261857986,0.0022164867259562016,509.66350519657135,471.88916659355164,0.7649028301239014,531.72789311409,493.43971168994904,0.9999998807907104,622.7960977554321,411.41820526123047,0.9999998807907104,594.8472757339478,395.097166121006,0.9485406279563904,518.2252378463745,389.8403503894806,0.9999980926513672,542.8686852455139,410.6818940639496,1.0
