scorer,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi
bodyparts,B1,B1,B2,B2,B3,B3,B4,B4,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Primary_Rubikscube_other2d-0000\frame1.png,,,,,,,,,520.8933938,494.3613844,578.8742556,567.101011,650.5596847,508.0659517,591.5246254,437.4347201
labeled-data\Primary_Rubikscube_other2d-0000\frame101.png,,,,,,,,,570.4406757,517.5537291,626.3131425,597.6727381,705.377954,536.5292838,646.3428947,458.5186698
labeled-data\Primary_Rubikscube_other2d-0000\frame151.png,,,,,,,,,579.928453,482.765212,646.3428947,559.7216285,722.2451138,497.5239768,654.7764746,424.7843502
labeled-data\Primary_Rubikscube_other2d-0000\frame201.png,582.036848,493.3071869,,,,,650.5596847,434.2721276,635.8009198,539.6918763,665.3184495,590.2933557,732.7870887,529.1499014,707.486349,476.4400271
labeled-data\Primary_Rubikscube_other2d-0000\frame251.png,575.1348838,504.0859982,634.3439903,567.0844875,,,,,609.713002,467.6131886,674.1325099,533.453715,723.8681593,482.297047,664.18538,419.2985576
labeled-data\Primary_Rubikscube_other2d-0000\frame301.png,,,,,,,,,595.5028164,482.7707198,656.1329415,558.0847033,729.5522335,494.6125411,666.5537442,418.8248848
labeled-data\Primary_Rubikscube_other2d-0000\frame351.png,,,649.5015215,593.1364944,727.1838693,529.1906593,,,550.9775683,491.2968312,598.8185264,571.3475432,682.6586212,497.4545782,629.6072618,420.2459034
labeled-data\Primary_Rubikscube_other2d-0000\frame401.png,,,,,,,,,557.6089882,514.0331281,625.8178789,580.8210002,692.1320782,513.5594552,621.5548233,447.2452559
labeled-data\Primary_Rubikscube_other2d-0000\frame451.png,,,,,,,,,537.1623763,365.6687429,615.2596993,428.3455754,675.946791,354.725169,598.3469032,293.5406422
labeled-data\Primary_Rubikscube_other2d-0000\frame501.png,,,,,,,,,714.2911937,484.451928,779.8431102,566.679332,859.1954301,499.9773819,791.9184632,421.2000788
labeled-data\Primary_Rubikscube_other2d-0000\frame51.png,,,,,,,,,583.4514578,452.3945126,655.5635859,543.6693041,749.3597805,470.5486148,673.2134075,378.7695426
labeled-data\Primary_Rubikscube_other2d-0000\frame551.png,,,,,,,,,614.9446266,611.8516943,670.1644949,687.6535136,745.9663142,632.4336452,688.7384507,555.6278283
labeled-data\Primary_Rubikscube_other2d-0000\frame601.png,,,,,,,,,492.068092,494.9888829,557.2092821,564.0274092,625.1342838,502.2267929,562.2201429,433.7450289
labeled-data\Primary_Rubikscube_other2d-0000\frame651.png,,,640.2762335,446.3864996,709.3147598,381.2453095,,,563.9997971,346.169284,640.2762335,419.1051465,715.9959075,344.498997,639.1627089,274.3469461
labeled-data\Primary_Rubikscube_other2d-0000\frame701.png,,,,,,,,,629.6977496,469.2137543,694.2821775,551.0578137,777.2397615,484.803099,709.8715221,405.1860887
labeled-data\Primary_Rubikscube_other2d-0000\frame751.png,,,,,,,,,523.3561486,451.9541227,584.0432403,524.8899852,658.0926274,465.3164181,596.8487734,395.1643672
labeled-data\Primary_Rubikscube_other2d-0000\frame801.png,,,,,,,,,653.0817666,461.419082,716.5526698,549.9442891,806.7481639,490.370722,742.1637361,399.6184657
labeled-data\Primary_Rubikscube_other2d-0000\frame851.png,,,,,,,,,613.8254887,579.5681512,663.0738531,660.6318307,742.3942277,611.8192925,693.5816895,530.3197868
labeled-data\Primary_Rubikscube_other2d-0000\frame901.png,,,,,,,,,501.1366034,470.9054903,563.2589553,540.5578242,632.9112892,482.2004633,571.1654364,412.5481294
labeled-data\Primary_Rubikscube_other2d-0000\frame951.png,557.1310217,440.354984,613.4552874,499.4721885,,,,,557.5965115,410.098147,619.041165,475.7322088,687.4681655,419.407943,625.5580222,355.6358405
