scorer,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi
bodyparts,B1,B1,B2,B2,B3,B3,B4,B4,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Secondary4_Rubikscube_other2d-0000\frame1.png,,,473.864422,637.0547217,570.3687795,648.5272677,612.2098296,649.2021233,,,490.7358132,530.4275295,584.5407481,539.8755086,623.6823756,553.3726215
labeled-data\Secondary4_Rubikscube_other2d-0000\frame101.png,,,464.6588643,574.2870893,568.3101077,581.1212372,615.5796308,599.915144,,,484.0222834,463.2321857,584.8259652,466.0797473,631.5259759,497.4029253
labeled-data\Secondary4_Rubikscube_other2d-0000\frame151.png,,,504.9425714,545.6954637,611.6026834,564.9535394,646.4153588,586.4337009,,,532.3482946,441.9981326,634.5642353,451.6271705,668.6362155,484.9584554
labeled-data\Secondary4_Rubikscube_other2d-0000\frame201.png,,,524.7812732,615.0643035,626.9346663,632.9232883,662.6526359,555.0581146,547.6407738,462.1913937,499.0643351,533.6273329,611.9331191,551.4863177,651.937245,472.9067845
labeled-data\Secondary4_Rubikscube_other2d-0000\frame251.png,,,509.2182461,603.6907803,598.9575872,670.2216711,,,,,571.1074469,506.215289,661.620403,570.4253348,688.6969284,576.6142549
labeled-data\Secondary4_Rubikscube_other2d-0000\frame301.png,,,525.7887768,567.5174642,632.5476481,583.7633794,669.6811686,576.0272293,,,537.3930019,455.3432878,644.1518732,466.9475129,682.0590087,474.683663
labeled-data\Secondary4_Rubikscube_other2d-0000\frame351.png,555.4993592,506.8847458,501.6722144,436.1960858,604.1383454,403.770095,649.5347326,476.4043145,,,513.3455711,364.2103862,606.7324247,333.081435,649.5347326,402.4730554
labeled-data\Secondary4_Rubikscube_other2d-0000\frame401.png,,,476.4690093,577.5283716,583.1225373,603.0741268,613.7774436,596.687688,,,499.460189,468.3202681,604.1977854,489.3955161,632.93676,498.3365304
labeled-data\Secondary4_Rubikscube_other2d-0000\frame451.png,,,624.5575679,583.4070556,722.9745651,605.351386,,,,,643.8419795,485.6550382,742.2589767,507.5993686,,
labeled-data\Secondary4_Rubikscube_other2d-0000\frame501.png,,,574.9349384,490.2121902,704.4084632,496.9673306,738.1841654,523.9878923,,,594.074503,363.5533072,721.8592427,362.4274505,,
labeled-data\Secondary4_Rubikscube_other2d-0000\frame51.png,607.2288551,464.2155656,564.6899055,440.2499602,669.5394291,418.6809153,703.6904168,449.8362023,,,559.8967844,337.7969971,660.5523271,314.4305318,699.4964359,359.3660419
labeled-data\Secondary4_Rubikscube_other2d-0000\frame551.png,,,348.2412746,587.1567511,451.9781094,615.0858989,527.7857964,629.7154525,,,380.8252804,466.7954235,484.5621152,480.0950177,554.3849848,510.6840844
labeled-data\Secondary4_Rubikscube_other2d-0000\frame601.png,,,465.0413132,624.5147845,558.3689112,647.4763364,599.1071484,648.2170316,,,486.5214747,525.2616247,577.626987,543.0383101,614.6617481,554.8894336
labeled-data\Secondary4_Rubikscube_other2d-0000\frame651.png,,,642.4588481,500.8210526,745.9191567,507.7539599,,,,,656.8579632,405.893553,757.1184684,409.0933563,,
labeled-data\Secondary4_Rubikscube_other2d-0000\frame701.png,,,549.6953636,500.3317329,663.3476384,503.6500475,699.0195203,532.6853002,,,567.1165152,389.168194,678.2800541,385.0203008,,
labeled-data\Secondary4_Rubikscube_other2d-0000\frame751.png,,,518.0699293,597.338578,613.8105477,614.6774302,649.9959783,623.7237878,,,539.1780971,497.8286439,634.9187156,509.8904541,666.5809673,529.4908957
labeled-data\Secondary4_Rubikscube_other2d-0000\frame801.png,,,564.2531784,465.7760952,677.7441463,462.8956138,720.3752713,491.1243317,,,577.5033929,351.1329347,683.5051092,341.3392979,729.0167156,383.9704229
labeled-data\Secondary4_Rubikscube_other2d-0000\frame851.png,,,386.9750391,592.3991614,485.7870737,614.4554191,562.5428506,627.6891738,,,416.0892993,470.6486188,511.3723327,481.2356225,588.1281095,511.232133
labeled-data\Secondary4_Rubikscube_other2d-0000\frame901.png,,,494.3974154,619.9384073,587.5669984,639.828543,625.2535712,636.6879953,,,512.7172772,521.5345781,604.8400109,537.7607414,640.4328853,546.65896
labeled-data\Secondary4_Rubikscube_other2d-0000\frame951.png,,,575.3390091,623.5749904,675.4019956,649.0944098,699.5782876,655.1384828,,,604.2162468,524.1835675,701.5929786,545.0020412,724.4261434,563.8058239
