scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,757.1923762559891,819.7737379074097,0.0012677109334617853,766.5242857933044,823.3357195854187,0.018663791939616203,854.6893739700317,765.7353056669235,0.03830552101135254,764.2121099680662,819.4240465164185,0.06277904659509659,711.1145868301392,713.552013874054,1.0,762.3338241577148,808.5072555541992,0.9999995231628418,853.8942799568176,755.8705210238695,1.0,799.1849226951599,666.2841409444809,1.0
1,752.6775541305542,821.4939641952515,0.015613851137459278,757.19176197052,825.8646261692047,0.9922216534614563,832.5478601455688,791.6125900745392,0.0667586624622345,756.6322039961815,822.8592829704285,0.05166913941502571,703.4828090667725,714.6451373100281,0.9999998807907104,752.5227344036102,807.1104924678802,1.0,846.0251424312592,756.7813692688942,0.9999997615814209,790.6383249759674,667.3168947696686,1.0
2,743.3028132915497,823.4046940803528,0.005146749783307314,751.1096572875977,825.3886811733246,0.9980791807174683,824.994579076767,790.537712097168,0.9965304732322693,749.446141242981,822.0184330940247,0.019602114334702492,695.138242483139,714.9491436481476,1.0,745.0301337242126,804.911478638649,1.0,837.5114736557007,755.8829354792833,1.0,782.8546438217163,667.2164862751961,0.9999998807907104
3,737.5149464607239,825.4267501831055,0.00811159610748291,745.6328868865967,829.7586493492126,0.9999915361404419,820.4981815218925,789.0820574760437,0.018019525334239006,741.2284277677536,824.660543680191,0.034399788826704025,688.2299795150757,714.8151261806488,1.0,735.6443800926208,804.6993059515953,1.0,828.893611907959,754.6060173511505,1.0,775.0905327796936,668.1456516832113,1.0
4,735.28129529953,833.3922111988068,0.0019652824848890305,739.062199652195,829.3437254428864,0.9999991655349731,817.4616122245789,783.0218257904053,0.9998559951782227,734.7606627941132,824.2384829521179,0.057983703911304474,680.3389654159546,714.7181593179703,1.0,729.1190447807312,804.0710779204965,0.9999998807907104,821.9248970746994,754.5823941230774,1.0,768.030241727829,667.4582550525665,1.0
5,816.1817650794983,775.0371890068054,0.009023962542414665,732.1955365240574,828.6900544166565,0.9999980926513672,815.6153883934021,779.303780913353,0.9999600648880005,1266.5271805524826,155.61786273121834,0.025485066697001457,674.542652130127,713.5957255363464,1.0,721.4504528045654,802.3936400413513,1.0,814.2512731552124,754.7807068824768,1.0,761.2381286621094,666.5472012758255,0.9999998807907104
6,806.6328392028809,775.1573419570923,0.0037911604158580303,726.877418756485,828.3155477046967,0.9999998807907104,808.2364726066589,781.241370677948,0.9999963045120239,1266.1527330875397,156.10711248219013,0.016089968383312225,668.7075390219688,712.0710315704346,0.9999998807907104,715.0996859073639,801.4944293498993,0.9999998807907104,807.4265038967133,753.6254668235779,1.0,754.8864502906799,665.457193851471,1.0
7,804.4641299247742,766.2640402317047,0.0005380576476454735,720.0779373645782,827.7453493773937,0.9999998807907104,802.1060066223145,781.304224729538,0.9999998807907104,1265.896418094635,156.32620385289192,0.014708823524415493,662.5559959411621,711.017564535141,1.0,707.8888923898339,798.8105571269989,1.0,801.0143642425537,750.6993327140808,1.0,749.5923178195953,664.9084248542786,1.0
8,794.7781498432159,777.316291809082,0.0017654156545177102,713.7710542678833,826.4640407562256,0.9999996423721313,796.1192467138171,781.1751942634583,0.9999934434890747,1265.8644742965698,156.16988782584667,0.0169907808303833,656.8754916191101,709.3831559419632,1.0,701.8682975769043,798.378205537796,0.9999998807907104,794.326392531395,750.0304913520813,0.9999998807907104,743.3552827835083,663.5893874168396,1.0
9,788.6179047226906,774.0515503883362,0.0012433880474418402,707.8519588708878,824.8456230163574,0.9999998807907104,789.6518394947052,779.2759313583374,0.9999974966049194,1265.945456981659,156.31838580965996,0.01245037466287613,650.5830390453339,708.7861425876617,1.0,694.213819026947,796.79457873106,1.0,787.6382333338261,749.7733470201492,1.0,737.3163714408875,662.8083229064941,1.0
10,783.9522566795349,769.9093079566956,0.0009510180680081248,701.5078964233398,822.4877760410309,0.9999994039535522,783.611656665802,776.4800472259521,0.9999649524688721,1266.1539158821106,156.10876354575157,0.01577494852244854,644.6229683160782,708.0575182363391,1.0,689.2027058601379,797.3210973739624,1.0,781.1993805170059,748.4964233934879,0.9999995231628418,731.4039639234543,661.8878312110901,1.0
11,775.9728989601135,769.3224725723267,0.0007181785767897964,695.5258274078369,819.9834368079901,0.9999942779541016,775.2084820270538,774.8750922679901,0.9998483657836914,1266.092967748642,156.10545259714127,0.020126018673181534,637.6715965270996,707.4593043327332,1.0,682.9233092069626,798.2278394699097,0.9999995231628418,775.2210276126862,747.6008464694023,1.0,724.976365685463,661.4878488779068,1.0
12,770.5217498540878,762.2354726791382,0.0010097210761159658,688.8341529369354,818.3942928314209,0.9998078942298889,769.5863387584686,770.3919872045517,0.997312068939209,1266.1368278265,156.10308242589235,0.018602881580591202,631.4927752017975,706.9504708051682,1.0,677.8236306905746,798.1125435829163,1.0,768.8817133903503,747.9930276419036,1.0,718.3026130199432,659.9186248481274,1.0
13,767.469530582428,760.6990044116974,0.0017949662869796157,684.1416279524565,815.2769346237183,0.18898291885852814,764.8728170394897,767.6953430175781,0.14549461007118225,1266.182211637497,156.15626350045204,0.016318995505571365,625.4579482078552,707.1312155127525,1.0,673.5233201980591,798.9907376766205,1.0,763.8420743942261,747.573888450861,0.9999996423721313,712.5321402549744,658.519180059433,1.0
14,669.0284507274628,806.389374256134,0.0007060936186462641,756.7340116500854,737.8602991104126,0.0004923533997498453,763.9571399688721,752.6446642875671,0.001014947541989386,1266.2742830514908,156.0322787463665,0.029055055230855942,619.1018879413605,707.1738972067833,1.0,669.6964635848999,799.7480878829956,0.9999997615814209,758.1452941894531,745.4328479766846,1.0,706.7777118682861,656.8241338729858,1.0
