scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,283.35971981287,497.8970501422882,0.9999998807907104,161.90202617645264,384.8184452056885,1.0,263.2810437679291,370.39499831199646,1.0,387.67343148589134,500.05691746622324,0.9999998807907104,267.8239373266697,376.658474445343,0.002303077606484294,270.2167663574219,275.3696085214615,0.9999998807907104,369.47123980522156,249.93613719940186,1.0,469.06553184986115,378.9015347957611,1.0
1,276.83244252204895,502.71733474731445,0.9999986886978149,159.6119203567505,387.82338103652,0.9999998807907104,256.68701338768005,375.208443403244,0.9999992847442627,380.6925327181816,504.27944469451904,0.9999994039535522,466.2572306394577,387.97482505626976,0.0022666535805910826,269.59925365448,283.89540395885706,0.9999990463256836,363.2407779097557,257.43827986717224,1.0,463.484477519989,387.74336087703705,0.9999994039535522
2,275.21055233478546,508.19316996634007,0.9999943971633911,156.0835959687829,393.15603399276733,0.9999959468841553,253.7199639081955,379.3943378329277,0.9999828338623047,374.5697295665741,508.730928838253,0.9999988079071045,461.9895167350769,395.0882443189621,0.0023999216500669718,267.40387576818466,291.026643037796,0.9999980926513672,362.0374870300293,268.43287312984467,0.9999997615814209,457.3646855354309,395.6829976737499,0.9999996423721313
3,273.47839999198914,512.9287056922913,0.9999957084655762,154.22592151165009,398.3521885871887,0.999995231628418,250.31169056892395,387.03286385536194,0.9998763799667358,369.6776866912842,512.9383497238159,0.9999984502792358,248.18077421188354,386.25514125823975,0.011318699456751347,264.31214904785156,299.3364608883858,0.9999113082885742,358.3161244392395,276.15159621834755,1.0,452.34188252687454,403.260070502758,1.0
4,272.1229729652405,516.3955100178719,0.9999991655349731,152.31484985351562,402.64994716644287,0.9999994039535522,248.1476879119873,391.8568172454834,0.9998685121536255,364.85658037662506,516.8862217664719,0.9999988079071045,248.06015634536743,394.58899664878845,0.029430804774165154,263.8212134838104,304.63521933555603,0.9999619722366333,354.83943688869476,284.7363116145134,1.0,448.6741349697113,408.2385883331299,1.0
5,272.36791372299194,520.8337125778198,0.999991774559021,153.7647659778595,407.4815454483032,0.9999957084655762,246.7291932106018,397.3097468614578,0.9997062087059021,360.7164521217346,520.7092089653015,0.9999912977218628,246.96675992012024,397.5797917842865,0.022561287507414818,263.54651284217834,310.6147208213806,0.9999933242797852,353.5373613834381,291.7663437575102,1.0,447.01775312423706,414.868780374527,0.9999996423721313
6,268.12679965794086,523.5161656141281,0.9999759197235107,154.15526819229126,410.92567706108093,0.999985933303833,244.75303477048874,403.2457729578018,0.9999599456787109,357.2118728160858,525.1869640350342,0.9999947547912598,242.8658139705658,402.68785858154297,0.024205775931477547,261.23646008968353,317.29884600639343,0.999994158744812,353.8711619377136,298.8061009645462,0.9999998807907104,446.2925968170166,418.71271324157715,0.9999998807907104
7,267.45258325338364,525.5605177879333,0.9999505281448364,154.91494750976562,415.0073256492615,0.9999940395355225,245.23769664764404,408.1950044631958,0.9999738931655884,355.23575180768967,528.1913917064667,0.9999732971191406,267.0493255853653,314.21916246414185,0.007998279295861721,264.0793604850769,320.5960850715637,0.999970555305481,353.3037054538727,303.01828050613403,0.9999998807907104,444.08047223836184,423.87182688713074,0.9999998807907104
8,267.0286146402359,526.8850955963135,0.9999970197677612,158.33993077278137,419.13468766212463,0.9999991655349731,246.5833489894867,410.7862950563431,0.9997634291648865,354.30358052253723,530.2794153690338,0.999984622001648,247.06961131095886,412.5480300784111,0.13814273476600647,266.01454198360443,325.03457164764404,0.9999910593032837,354.8022953271866,308.30225148797035,1.0,442.14146757125854,427.3475993871689,0.9999996423721313
9,267.23899924755096,529.1241192817688,0.9999953508377075,158.7147011756897,423.34498715400696,0.9999973773956299,246.07337713241577,416.57177996635437,0.9999327659606934,354.74341106414795,532.0804227888584,0.9999992847442627,245.34414327144623,418.16851472854614,0.08101657032966614,264.5604085922241,330.0054085254669,0.9999940395355225,352.96943712234497,314.12582862377167,0.9999998807907104,440.8251042366028,430.19051361083984,0.9999998807907104
10,267.12845796346664,530.6161448955536,0.9999977350234985,161.8121907711029,429.1513992547989,0.9999994039535522,249.74550986289978,423.4076223373413,0.9998846054077148,355.58102056384087,533.6499843597412,0.9999991655349731,254.3693766593933,427.088412463665,0.014745410531759262,264.71415424346924,333.4721065759659,0.999995231628418,351.6306800842285,317.49734342098236,0.9999997615814209,440.2050561904907,430.96723318099976,0.9999997615814209
11,268.5647169947624,532.0443088524044,0.9999984502792358,164.93252575397491,433.1961808204651,1.0,253.23550176620483,426.77607583999634,0.9999972581863403,359.83092308044434,533.7262287139893,0.9999998807907104,361.0196568965912,535.1070876121521,0.0019043800421059132,262.3798453807831,337.793639421463,1.0,349.4309244155884,322.24122428894043,1.0,440.08821535110474,431.14167523384094,0.9999998807907104
12,273.9406898021698,532.2910577654839,1.0,168.99381113052368,439.80669689178467,0.9999994039535522,257.24824476242065,433.67038559913635,1.0,365.0073010921478,534.6912059783936,0.9999982118606567,257.74502754211426,438.03022146224976,0.0034492886625230312,260.46945732831955,340.9336165189743,1.0,350.02252292633057,326.4233429431915,1.0,440.6610207557678,430.69404220581055,0.9999998807907104
13,279.35576581954956,531.3752236962318,1.0,173.76450634002686,448.25336384773254,0.9999998807907104,264.713002204895,441.4421091079712,0.9999988079071045,371.6262843310833,534.9614474773407,0.9999998807907104,372.04159738868475,533.5143449306488,0.002728670369833708,259.1043875217438,343.37747597694397,1.0,350.43835973739624,331.4934783577919,0.9999996423721313,440.1543745994568,428.22781628370285,1.0
14,282.90974748134613,530.0479516983032,0.9999998807907104,180.27331075072289,455.020427942276,1.0,272.26125979423523,450.78509390354156,1.0,381.9618829488754,537.2595992088318,0.9999985694885254,273.1278352737427,454.8428211212158,0.001776175107806921,256.3495500087738,345.9123797416687,1.0,351.04103231430054,333.09245109558105,0.9999998807907104,442.1461173295975,423.7271285057068,1.0
