scorer,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi
bodyparts,B1,B1,B2,B2,B3,B3,B4,B4,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Secondary3_Rubikscube_other2d-0000\frame1.png,726.0553189,550.74338,,,571.8869228,556.8130018,636.8318771,559.2408506,731.5179786,442.7041102,,,570.0660362,446.9528455,635.0109905,436.6344883
labeled-data\Secondary3_Rubikscube_other2d-0000\frame101.png,664.33727,496.6450225,,,516.5990222,497.6398929,564.8502344,500.624504,664.33727,394.1733759,,,519.0861981,394.1733759,568.3322807,385.2195427
labeled-data\Secondary3_Rubikscube_other2d-0000\frame151.png,653.3749111,473.2327111,,,495.9800317,476.9703204,552.8747506,481.1232195,648.806722,362.7655926,,,492.2424224,367.3337817,550.3830111,358.6126934
labeled-data\Secondary3_Rubikscube_other2d-0000\frame201.png,651.1793451,437.5707161,614.3965237,528.6789353,521.5906359,534.9037204,553.2804512,439.8342743,597.4198369,379.849981,,,474.0559128,470.9582001,503.48217,377.5864227
labeled-data\Secondary3_Rubikscube_other2d-0000\frame251.png,659.7899424,510.9006477,,,516.7727651,571.6676028,579.9949508,570.4399875,613.1405627,410.2361967,,,465.2129244,473.4583824,525.9798795,461.7960374
labeled-data\Secondary3_Rubikscube_other2d-0000\frame301.png,653.4006271,458.5234616,,,498.8648591,490.1493862,554.2102272,462.1173167,635.4313518,346.3951834,,,480.1768128,383.7712762,533.3658678,344.2388704
labeled-data\Secondary3_Rubikscube_other2d-0000\frame351.png,626.4169478,410.3600991,,,503.0530237,338.492125,533.0451704,366.2207135,677.9128978,314.7247635,,,548.8900781,243.4226789,588.5023473,262.0970344
labeled-data\Secondary3_Rubikscube_other2d-0000\frame401.png,697.9060897,481.515235,,,543.5962212,510.3482208,615.1447415,492.7280628,682.9556526,377.3961195,,,524.9081748,404.0933286,593.2530301,376.3282312
labeled-data\Secondary3_Rubikscube_other2d-0000\frame451.png,722.1447768,449.5931311,,,523.8552495,484.7330473,626.1375056,459.0056086,700.8098276,315.9359497,,,500.6378048,346.0558779,597.9000729,303.3859796
labeled-data\Secondary3_Rubikscube_other2d-0000\frame501.png,505.8364188,426.0621653,,,365.2128631,432.4991591,399.8735987,422.1009384,507.8170323,317.128425,,,363.7274031,326.0411856,397.3978319,303.2641308
labeled-data\Secondary3_Rubikscube_other2d-0000\frame51.png,621.4881524,344.289983,,,469.2045336,330.3047527,518.9297969,303.8882066,640.6530977,234.4800266,,,486.2975929,225.6745112,540.6845996,185.7907063
labeled-data\Secondary3_Rubikscube_other2d-0000\frame551.png,629.9252121,531.8054751,,,504.0741121,535.8465655,544.4850158,542.1968503,624.1522259,435.9739035,,,498.8784245,446.9425774,535.8255364,440.5922925
labeled-data\Secondary3_Rubikscube_other2d-0000\frame601.png,769.5417354,539.65628,,,611.6311664,555.6472237,686.5887149,556.1469407,761.0465465,430.7179761,,,600.1376756,447.2086368,674.0957902,433.216561
labeled-data\Secondary3_Rubikscube_other2d-0000\frame651.png,652.0070898,368.7745183,,,461.4209623,366.3466695,538.5051604,352.9935013,657.4697495,232.8149878,,,464.4557733,229.1732147,541.5399713,196.3972565
labeled-data\Secondary3_Rubikscube_other2d-0000\frame701.png,589.6953646,426.8854434,,,439.0090147,424.85463,483.6869082,417.543702,594.5693166,311.9414083,,,441.039828,313.9722216,484.9053962,294.0702509
labeled-data\Secondary3_Rubikscube_other2d-0000\frame751.png,724.9974934,509.0008104,,,559.1142706,517.6511625,626.7905547,522.2307606,720.9267394,390.9489463,,,553.0081397,401.6346754,621.1932681,388.4047251
labeled-data\Secondary3_Rubikscube_other2d-0000\frame801.png,568.576834,385.3826923,,,422.1232467,390.9092428,452.9140279,373.1453306,566.9978195,273.2726687,,,422.9127539,282.3520016,456.4668103,252.3507276
labeled-data\Secondary3_Rubikscube_other2d-0000\frame851.png,627.7918598,525.8339711,,,502.328668,532.7159184,535.679643,535.3628212,621.4392931,428.9573294,,,495.9761013,441.1330821,527.2095541,432.6629932
labeled-data\Secondary3_Rubikscube_other2d-0000\frame901.png,763.6634549,527.1056254,,,599.4185737,549.1844455,673.7326511,541.1068284,750.7392675,414.5574937,,,585.4173707,435.0207904,658.1159247,415.6345093
labeled-data\Secondary3_Rubikscube_other2d-0000\frame951.png,687.0506109,534.594763,,,507.3578574,548.9701833,578.2081431,558.7249327,679.3494929,410.3500592,,,495.5494765,424.7254794,565.3729464,417.5377693
